"Account ID","High","Low","Medium","Urgent","Grand Total"
"-","0","0","0","1","1"
"0015G00001W7Bo7QAF","2","6","11","0","19"
"0015G00001W7mMGQAZ","1","1","4","0","6"
"0015G00001Xo6EfQAJ","0","2","0","0","2"
"0015G00001bvEEbQAM","1","0","0","0","1"
"0015G00001e4LZyQAM","0","4","3","0","7"
"0015G00001fp24DQAQ","1","0","0","0","1"
"0015G00001gUeHZQA0","0","1","0","0","1"
"0015G00001nrRwBQAU","0","1","0","0","1"
"0015G00001xhSMDQA2","1","11","8","0","20"
"0015G000020ROTQQA4","4","0","0","0","4"
"0015G000021jao5QAA","1","2","5","0","8"
"0015G00002CQ6vUQAT","0","0","1","0","1"
"0015G00002J0i5BQAR","0","0","1","0","1"
"0015G00002QzvZnQAJ","0","1","0","0","1"
"001f4000004Ai3zAAC","7","15","8","0","30"
"001f4000004Ai5HAAS","1","3","0","0","4"
"001f400000Fb4r5AAB","4","0","2","0","6"
"001f400000FdKuZAAV","9","9","9","0","27"
"001f400000cmDEvAAM","0","1","2","0","3"
"001f400000cmLP7AAM","1","2","4","0","7"
"001f400000rxt8AAAQ","0","4","2","0","6"
"001f400000tt9cvAAA","0","0","1","0","1"
"001f400000tt9doAAA","10","10","23","0","43"
"001f400000uh1hMAAQ","8","25","18","0","51"
"001f400000uihkNAAQ","0","1","0","0","1"
"001f400000xpY7eAAE","1","3","1","0","5"
"001f4000016cKpkAAE","1","3","2","0","6"
"001f400001BSOeeAAH","1","1","3","0","5"
"001f400001C8o5RAAR","1","0","0","0","1"
"001f400001F2PvFAAV","10","6","4","0","20"
"001f400001KxwCrAAJ","1","3","1","0","5"
"001f400001OLDVDAA5","2","1","1","0","4"
"001f400001PqnPWAAZ","1","18","4","0","23"
"001f400001SKYFtAAP","3","1","1","0","5"
